Learning Rate	Train Loss	Test Loss	
0.00010000	0.00002564	0.00001291	
0.00010000	0.00002795	0.00001219	
0.00010000	0.00002855	0.00001278	
0.00010000	0.00002423	0.00001211	
0.00010000	0.00002682	0.00001302	
0.00010000	0.00002711	0.00001225	
0.00010000	0.00002626	0.00001259	
0.00010000	0.00002496	0.00001384	
0.00010000	0.00002298	0.00001204	
0.00010000	0.00002228	0.00001319	
0.00010000	0.00002589	0.00001244	
0.00010000	0.00002703	0.00001301	
0.00010000	0.00002511	0.00001327	
0.00010000	0.00002173	0.00001230	
0.00010000	0.00002845	0.00001307	
0.00010000	0.00002678	0.00001289	
0.00010000	0.00002527	0.00001377	
0.00010000	0.00002427	0.00001183	
0.00010000	0.00002887	0.00001197	
0.00010000	0.00002540	0.00001254	
0.00010000	0.00002055	0.00001158	
0.00010000	0.00002186	0.00001238	
0.00010000	0.00002170	0.00001170	
0.00010000	0.00002615	0.00001348	
0.00010000	0.00002177	0.00001186	
0.00010000	0.00003074	0.00001214	
0.00010000	0.00002430	0.00001338	
0.00010000	0.00002552	0.00001323	
0.00010000	0.00002506	0.00001244	
0.00010000	0.00002640	0.00001200	
0.00010000	0.00002864	0.00001225	
0.00010000	0.00002319	0.00001248	
0.00010000	0.00002296	0.00001149	
0.00010000	0.00002491	0.00001245	
0.00010000	0.00002569	0.00001527	
0.00010000	0.00002599	0.00001265	
0.00010000	0.00002521	0.00001229	
0.00010000	0.00002867	0.00001315	
0.00010000	0.00002428	0.00001307	
0.00010000	0.00002324	0.00001246	
0.00010000	0.00002548	0.00001509	
0.00010000	0.00002731	0.00001295	
0.00010000	0.00002599	0.00001247	
0.00010000	0.00002351	0.00001135	
0.00010000	0.00002401	0.00001199	
0.00010000	0.00002557	0.00001216	
0.00010000	0.00002461	0.00001189	
0.00010000	0.00002970	0.00002056	
0.00010000	0.00002821	0.00001137	
0.00010000	0.00002280	0.00001248	
0.00010000	0.00002763	0.00001531	
0.00010000	0.00002399	0.00001203	
0.00010000	0.00002835	0.00001124	
0.00010000	0.00002229	0.00001305	
0.00010000	0.00003132	0.00001148	
0.00010000	0.00002489	0.00001145	
0.00010000	0.00002590	0.00001132	
0.00010000	0.00002585	0.00001239	
0.00010000	0.00002469	0.00001364	
0.00010000	0.00002525	0.00001322	
0.00010000	0.00002410	0.00001175	
0.00010000	0.00002509	0.00001155	
0.00010000	0.00002487	0.00001206	
0.00010000	0.00002741	0.00001183	
0.00010000	0.00002813	0.00001129	
0.00010000	0.00002297	0.00001078	
0.00010000	0.00002255	0.00001093	
0.00010000	0.00002630	0.00001156	
0.00010000	0.00002278	0.00001106	
0.00010000	0.00002412	0.00001199	
0.00010000	0.00002469	0.00001355	
0.00010000	0.00002556	0.00001232	
0.00010000	0.00002832	0.00001256	
0.00010000	0.00002465	0.00001210	
0.00001000	0.00001850	0.00001088	
0.00001000	0.00002032	0.00001035	
0.00001000	0.00002211	0.00001058	
0.00001000	0.00002312	0.00001094	
0.00001000	0.00002327	0.00001363	
0.00001000	0.00002138	0.00001014	
0.00001000	0.00002216	0.00001048	
0.00001000	0.00002557	0.00001011	
0.00001000	0.00002069	0.00001079	
0.00001000	0.00001794	0.00001026	
0.00001000	0.00002632	0.00001030	
0.00001000	0.00002424	0.00001078	
0.00001000	0.00002494	0.00001273	
0.00001000	0.00002539	0.00001132	
0.00001000	0.00002588	0.00001098	
0.00001000	0.00002217	0.00001019	
0.00001000	0.00002375	0.00001030	
0.00001000	0.00002053	0.00001026	
0.00001000	0.00002207	0.00001029	
0.00001000	0.00002223	0.00001039	
0.00001000	0.00002524	0.00001016	
0.00001000	0.00002630	0.00001001	
0.00001000	0.00001936	0.00000998	
0.00001000	0.00002334	0.00001023	
0.00001000	0.00002403	0.00001406	
0.00001000	0.00002161	0.00001047	
0.00001000	0.00002198	0.00001002	
0.00001000	0.00001928	0.00001024	
0.00001000	0.00002190	0.00001011	
0.00001000	0.00002482	0.00001138	
0.00001000	0.00002250	0.00001001	
0.00001000	0.00002102	0.00001035	
0.00001000	0.00002247	0.00001009	
0.00001000	0.00002287	0.00001059	
0.00001000	0.00002421	0.00001163	
0.00001000	0.00002207	0.00001005	
0.00001000	0.00002175	0.00001005	
0.00001000	0.00002348	0.00001179	
0.00001000	0.00002382	0.00001030	
0.00001000	0.00002158	0.00001209	
0.00001000	0.00002170	0.00001000	
